street_name,class
Ponte do Rio Jacuí,Personalidade Histórica
Avenida Farrapos,Coisa
Rodovia General Bento Gonçalves,Exército
Anel Viário UFRGS Campus do Vale,Personalidade Histórica
Avenida Bento Gonçalves,Nome de Cidade/UF
Avenida Antônio de Carvalho,Personalidade Histórica
Avenida Cubanos,Coisa
Estrada João de Oliveira Remião,Personalidade Histórica
Rua Antônio Maranguello,Personalidade Histórica
Avenida Senador Salgado Filho,Personalidade Histórica
Avenida João Pessoa,Personalidade Histórica
Avenida da Azenha,Personalidade Histórica
Avenida Osvaldo Aranha,Personalidade Histórica
Avenida Neusa Goulart Brizola,Personalidade Histórica
Rua São Manoel,Figura Religiosa
Avenida Coronel Lucas de Oliveira,Exército
Avenida Ijuí,Nome de Cidade/UF
Rua Carazinho,Nome de Cidade/UF
Avenida Nilópolis,Coisa
Avenida Doutor Nilo Peçanha,Profissão
Avenida Goethe,Coisa
Rua Mariante,Coisa
Avenida Paraná,Nome de Cidade/UF
Rua Siqueira Campos,Personalidade Histórica
Avenida Pinheiro Borda,Personalidade Histórica
Avenida Padre Cacique,Figura Religiosa
Avenida Praia de Belas,Personalidade Histórica
Viaduto Dom Pedro I,Personalidade Histórica
Avenida Borges de Medeiros,Personalidade Histórica
Rua 7 de Setembro,Feriado
Rua Riachuelo,Coisa
Rua Duque de Caxias,Personalidade Histórica
Rua General Lima e Silva,Exército
Rua Demétrio Ribeiro,Personalidade Histórica
Rua General Vasco Alves,Exército
Rua General Bento Martins,Exército
Rua General Portinho,Exército
Rua José Montaury,Personalidade Histórica
Rua Professora Zilah Totta,Profissão
Rua Veador Porto,Personalidade Histórica
Avenida Tramandaí,Nome de Cidade/UF
Avenida Benjamin Constant,Personalidade Histórica
Avenida Assis Brasil,Personalidade Histórica
Avenida Sertório,Coisa
Avenida Otávio Rocha,Personalidade Histórica
Avenida Presidente Castello Branco,Exército
Elevada da Conceição,Personalidade Histórica
Largo Vespasiano Júlio Veppo,Personalidade Histórica
Largo Edgar Koetz,Personalidade Histórica
Rua Doutor Júlio Olszewski,Profissão
Rua João Moreira Maciel,Personalidade Histórica
Rua Dona Teodora,Personalidade Histórica
Rua Voluntários da Pátria,Personalidade Histórica
Rua General Canabarro,Exército
Rua General Cypriano Ferreira,Exército
Rua General João Manoel,Exército
Rua General Auto,Exército
Praça Marechal Deodoro,Exército
Rua General Câmara,Exército
Rua General Andrade Neves,Exército
Escadarias,Coisa
Rua Engenheiro Luiz Englert,Profissão
Avenida Paulo Gama,Personalidade Histórica
Rua Sarmento Leite,Personalidade Histórica
Rua Antônio Carlos Guimarães,Personalidade Histórica
Rua da Conceição,Personalidade Histórica
Praça Dom Feliciano,Nome de Cidade/UF
Rua Professor Annes Dias,Profissão
Rua General Zenóbio da Costa,Exército
Rua Irmão José Otão,Personalidade Histórica
Túnel da Conceição,Personalidade Histórica
Rua Antônio Klinger Filho,Personalidade Histórica
Rua Washington Luiz,Personalidade Histórica
Avenida Aureliano de Figueiredo Pinto,Personalidade Histórica
Avenida Érico Veríssimo,Personalidade Histórica
Rua Ibanor José Tartarotti,Personalidade Histórica
Largo Visconde do Cairú,Personalidade Histórica
Avenida Desembargador André da Rocha,Profissão
Rua Vigário José Inácio,Personalidade Histórica
Rua Senhor dos Passos,Personalidade Histórica
Praça Conde de Porto Alegre,Nome de Cidade/UF
Praça Osvaldo Cruz,Personalidade Histórica
Rua Coronel Vicente,Exército
Rua Doutor Barros Cassal,Profissão
Rua Tomaz Flores,Personalidade Histórica
Rua Antão de Farias,Personalidade Histórica
Avenida Chicago,Coisa
Avenida Pernambuco,Nome de Cidade/UF
Avenida Juca Batista,Personalidade Histórica
Estrada da Ponta Grossa,Personalidade Histórica
Estrada João Antônio da Silveira,Personalidade Histórica
Avenida Edgar Pires de Castro,Personalidade Histórica
Avenida Cairú,Coisa
Avenida Economista Nilo Wulff,Personalidade Histórica
Avenida Pátria,Coisa
Avenida Ceará,Nome de Cidade/UF
Praça Professor Luiz Leseigneur de Faria,Profissão
Rua Arabutã,Coisa
Avenida Madri,Coisa
Rua Comendador Tavares,Nome de Cidade/UF
Avenida Maranhão,Nome de Cidade/UF
Rua Ernesto da Fontoura,Personalidade Histórica
Avenida Polônia,Coisa
Avenida Guido Mondin,Personalidade Histórica
Avenida São Pedro,Figura Religiosa
Rua do Parque,Personalidade Histórica
Rua Almirante Tamandaré,Exército
Rua Quintino Bandeira,Personalidade Histórica
Avenida Presidente Franklin Roosevelt,Personalidade Histórica
Avenida Santos Dumont,Figura Religiosa
Avenida Rio Grande,Nome de Cidade/UF
Avenida Missões,Coisa
Avenida Bahia,Nome de Cidade/UF
Avenida Amazonas,Nome de Cidade/UF
Rua Conselheiro Camargo,Nome de Cidade/UF
Rua Conselheiro Travassos,Personalidade Histórica
Rua Álvaro Chaves,Personalidade Histórica
Rua Câncio Gomes,Personalidade Histórica
Rua 7 de Abril,Feriado
Rua Leopoldo Froes,Personalidade Histórica
Rua Paraíba,Nome de Cidade/UF
Rua Hoffmann,Coisa
Rua Comendador Azevedo,Personalidade Histórica
Rua Comendador Coruja,Personalidade Histórica
Rua Pelotas,Nome de Cidade/UF
Rua Antônio Carlos Berta,Personalidade Histórica
Avenida João Wallig,Personalidade Histórica
Rua Thadeu Onar,Personalidade Histórica
Rua Doutor Ari Ramos de Lima,Profissão
Estrada da Branquinha,Personalidade Histórica
Rua Coronel João Corrêa,Exército
Rua Sapé,Coisa
Rua Estácio de Sá,Personalidade Histórica
Rua Osório Tuyuty de Oliveira Freitas,Nome de Cidade/UF
Rua Desembargador Espiridião Lima Medeiros,Profissão
Rua Coronel Armando Assis,Exército
Rua Professor Fernando Carneiro,Profissão
Rua Germano Gundlach,Personalidade Histórica
Rua Doutor Barbosa Gonçalves,Profissão
Travessa Aurora,Coisa
Rua João Berrutti,Personalidade Histórica
Rua Professor Ulisses Cabral,Profissão
Rua Licínio Cardoso,Personalidade Histórica
Rua Cananéia,Coisa
Rua Comendador Creidy,Personalidade Histórica
Rua Doutor Prudente de Moraes,Profissão
Avenida Marechal Andréa,Exército
Rua Frei Henrique Golland Trindade,Figura Religiosa
Rua Martim Aranha,Personalidade Histórica
Avenida Engenheiro Alfredo Correa Daudt,Profissão
Rua Doutor Alfredo Mathias Wiltgen,Profissão
Rua Ely Costa,Personalidade Histórica
Rua Dona Mimi Moro,Personalidade Histórica
Avenida Plínio Brasil Milano,Personalidade Histórica
Avenida Cristóvão Colombo,Personalidade Histórica
Rua Ivéscio Pacheco,Personalidade Histórica
Avenida Túlio de Rose,Personalidade Histórica
Rua Araruama,Coisa
Rua São Leopoldo,Nome de Cidade/UF
Rua Tremembé,Coisa
Avenida General Barreto Viana,Exército
Rua 1,Rua sem nome
Rua da Colina,Personalidade Histórica
Rua Mostardeiro,Coisa
Rua São Carlos,Figura Religiosa
Rua Santa Rita,Figura Religiosa
Rua Emancipação,Coisa
Praça Bartolomeu de Gusmão,Personalidade Histórica
Rua Olinda,Coisa
Rua Doutor Timóteo,Profissão
Rua 3 de Maio,Feriado
Travessa Azevedo,Coisa
Rua Félix da Cunha,Personalidade Histórica
Rua Olavo Barreto Viana,Personalidade Histórica
Rua Padre Chagas,Figura Religiosa
Rua Fernando Gomes,Personalidade Histórica
Rua Tiradentes,Coisa
Rua Gonçalo de Carvalho,Personalidade Histórica
Rua Vasco da Gama,Personalidade Histórica
Avenida Cauduro,Coisa
Rua Henrique Dias,Personalidade Histórica
Rua Felipe Camarão,Personalidade Histórica
Rua Fernandes Vieira,Personalidade Histórica
Rua Castro Alves,Personalidade Histórica
Rua Doutor Vale,Profissão
Rua Miguel Tostes,Personalidade Histórica
Rua Coronel Frederico Linck,Exército
Travessa Carmen,Coisa
Rua Marquês do Pombal,Personalidade Histórica
Avenida América,Coisa
Avenida Mercedes,Coisa
Rua Santo Inacio,Figura Religiosa
Rua Barão de Santo Ângelo,Nome de Cidade/UF
Rua Marquês do Herval,Nome de Cidade/UF
Rua Engenheiro Saldanha,Profissão
Rua Joaquim Caetano da Silva,Personalidade Histórica
Rua Cândido Batista de Oliveira,Personalidade Histórica
Rua Luciana de Abreu,Personalidade Histórica
Rua Dinarte Ribeiro,Personalidade Histórica
Praça Doutor Maurício Cardoso,Profissão
Rua Tobias da Silva,Personalidade Histórica
Rua Doutor Poty Medeiros,Profissão
Rua Hilário Ribeiro,Personalidade Histórica
Rua Comendador Caminha,Personalidade Histórica
Rua Cabral,Coisa
Rua Bento Figueiredo,Personalidade Histórica
Rua César Lombroso,Personalidade Histórica
Rua Liberdade,Coisa
Rua Giordano Bruno,Personalidade Histórica
Rua José da Silva,Personalidade Histórica
Rua Jari,Nome de Cidade/UF
Avenida Carlos Gomes,Personalidade Histórica
Rua Dom Pedro II,Personalidade Histórica
Rua Dona Eugênia,Personalidade Histórica
Rua Felipe de Oliveira,Personalidade Histórica
Largo Eduardo Záccaro Faraco,Personalidade Histórica
Avenida Dawid Jozef Kapel,Personalidade Histórica
Rua Doutor Salvador França,Profissão
Avenida Senador Tarso Dutra,Personalidade Histórica
Rua Felizardo,Nome de Cidade/UF
Rua Felizardo Furtado,Nome de Cidade/UF
Rua La Plata,Personalidade Histórica
Rua Machado de Assis,Personalidade Histórica
Rua Gonçalves Ledo,Personalidade Histórica
Rua Veríssimo Rosa,Personalidade Histórica
Rua Alcebíades Caetano da Silva,Personalidade Histórica
Rua João de Castilhos,Personalidade Histórica
Rua Roque Gonzalez,Personalidade Histórica
Rua Afonso Rodrigues,Personalidade Histórica
Travessa Serrafim Terra,Personalidade Histórica
Rua Itaboraí,Coisa
Rua 18 de Setembro,Feriado
Rua 8 de Julho,Feriado
Rua Surupa,Coisa
Rua Eça de Queiroz,Personalidade Histórica
Rua Coronel Corte Real,Exército
Rua Riveira,Coisa
Rua Reis Louzada,Personalidade Histórica
Rua Doutor Veridiano Farias,Profissão
Rua Professor Langendonck,Profissão
Rua Faria Santos,Figura Religiosa
Rua Carlos Carvalho,Personalidade Histórica
Rua Vitor Hugo,Personalidade Histórica
Rua Artigas,Coisa
Rua General Souza Doca,Exército
Rua Marquês do Herv,Personalidade Histórica
Rua Borges do Canto,Personalidade Histórica
Rua Dinâmica,Coisa
Rua Buenos Aires,Personalidade Histórica
Rua Saicã,Coisa
Rua Engenheiro Antônio Carlos Tibiriçá,Profissão
Rua Mariz e Barros,Personalidade Histórica
Rua Lavradio,Coisa
Rua Camerino,Coisa
Rua Guararapes,Coisa
Beco 1,Rua sem nome
Rua Lagoinha,Coisa
Rua Sacadura Cabral,Personalidade Histórica
Rua Maranguapé,Coisa
Rua Visconde de Duprat,Personalidade Histórica
Rua Mário Antunes da Cunha,Personalidade Histórica
Rua Rubens Freire Hofmeister,Figura Religiosa
Rua Dona Oti,Personalidade Histórica
Rua Dona Lúcia,Personalidade Histórica
Rua Ferreira Viana,Personalidade Histórica
Rua General Tibureiro,Exército
Rua Engenheiro Roberto Simonsen,Profissão
Rua Doutor Feliciano Falcão,Profissão
Rua Doutor José Carvalho Bernardes,Profissão
Rua Heretiano Rocha,Personalidade Histórica
Rua Cajú,Coisa
Rua Dona Alice,Personalidade Histórica
Rua João Guimarães,Personalidade Histórica
Rua Alcides Cruz,Personalidade Histórica
Rua General Paranhos,Exército
Rua Santa Cecília,Figura Religiosa
Rua Almirante Abreu,Exército
Rua Coronel Aurélio Bitencourt,Exército
Rua Pedro Weingartner,Personalidade Histórica
Rua Vitor Meireles,Personalidade Histórica
Rua Schiller,Coisa
Rua Coronel Joaquim Pedro Salgado,Exército
Rua Cônego Viana,Personalidade Histórica
Rua Doutor Lauro de Oliveira,Profissão
Rua Coronel Paulino Teixeira,Exército
Rua Dona Leonor,Personalidade Histórica
Rua Professor Álvaro Alvim,Profissão
Travessa Desembargador Vieira Pires,Profissão
Rua Professor Duplan,Profissão
Rua Professor Juvenal Miler,Profissão
Rua Domingos José de Almeida,Personalidade Histórica
Rua São Vicente,Figura Religiosa
Rua Passo da Pátria,Personalidade Histórica
Rua Jaraguá,Coisa
Rua Barão de Ubá,Nome de Cidade/UF
Rua Desembargador Loureiro Lima,Profissão
Rua Carlos Gardel,Personalidade Histórica
Rua Artur Rocha,Personalidade Histórica
Rua Engenheiro Afonso Cavalcante,Profissão
Rua Engenheiro Olavo Nunes,Profissão
Rua Engenheiro Adolfo Stern,Profissão
Rua Engenheiro Teixeira Soares,Profissão
Rua Professor José Salgado Martins,Profissão
Rua Antônio Parreiras,Personalidade Histórica
Rua General Oscar Miranda,Exército
Rua Engenheiro Ewbank Camara,Profissão
Rua Engenheiro Antônio Rebouças,Profissão
Rua Engenheiro Verissimo de Matos,Profissão
Rua Farnese,Coisa
Rua Ciro Gavião,Personalidade Histórica
Rua Tauphick Saadi,Personalidade Histórica
Rua Regente,Coisa
Rua Carvalho Monteiro,Personalidade Histórica
Rua Doutor Freire Alemão,Profissão
Rua Felipe Neri,Personalidade Histórica
Rua Comendador Rheingantz,Personalidade Histórica
Rua Tenente Coronel Fabricio Pilar,Exército
Travessa Angustura,Coisa
Rua Alvarez de Azevedo,Personalidade Histórica
Rua Tito Lívio Zambecari,Personalidade Histórica
Avenida José Bonifácio,Personalidade Histórica
Avenida Venâncio Aires,Nome de Cidade/UF
Rua Vicente da Fontoura,Personalidade Histórica
Avenida Princesa Isabel,Personalidade Histórica
Rua Leopoldo Bier,Personalidade Histórica
Rua Doutor Ramiro D'Ávila,Profissão
Rua Professor Freitas e Castro,Profissão
Rua Gomes Jardim,Personalidade Histórica
Rua São Francisco,Figura Religiosa
Rua Visconde de Rio Grande,Nome de Cidade/UF
Rua Monteiro Lobato,Personalidade Histórica
Rua Evaristo da Veiga,Personalidade Histórica
Rua Coronel Villagran Cabrita,Exército
Rua Padre Hafkemeyer,Figura Religiosa
Rua Coronel Jaime da Costa Pereira,Exército
Rua Portuguesa,Coisa
Rua Everaldo Marquês da Silva,Personalidade Histórica
Rua Rocha Pombo,Personalidade Histórica
Rua Luiz de Camões,Personalidade Histórica
Rua Bento Amaral,Personalidade Histórica
Beco do São Pedro,Figura Religiosa
Rua Lúcio Cavalheiro,Personalidade Histórica
Rua Vlademir Telles,Personalidade Histórica
Rua Professor Lealcino Santos,Profissão
Rua Nelson Zang,Personalidade Histórica
Rua Euclydes Miranda,Personalidade Histórica
Rua Capitão Pedro WerlangIvo Janson,Exército
Rua Marcone,Coisa
Rua Olavo Dutra,Personalidade Histórica
Rua Moacir Santana,Figura Religiosa
Rua Rivadavia Correia,Personalidade Histórica
Rua Francisco Braga,Nome de Cidade/UF
Rua Doutor Telmo Vergara,Profissão
Rua Waldomiro Schapke,Personalidade Histórica
Rua Padre Todesco,Figura Religiosa
Rua Doutor Pereira da Cunha,Profissão
Rua Doutor Pedro Motta,Profissão
Rua Doutor Fernando Ortiz Schneider,Profissão
Rua Engenheiro Rodolfo Ahrons,Profissão
Rua Doutor Felix Contreiras Rodrigues,Profissão
Rua Artur de Oliveira,Personalidade Histórica
Avenida Elias Cirne Lima,Personalidade Histórica
Rua Dona Inocência,Personalidade Histórica
Rua Guarujá,Coisa
Rua Cervantes,Coisa
Rua Arno Vontobel,Personalidade Histórica
Rua Isidoro Tessi,Personalidade Histórica
Rua Aurélio Porto,Personalidade Histórica
Rua Avaí,Coisa
Rua José do Patrocínio,Personalidade Histórica
Rua João Alfredo,Personalidade Histórica
Rua Sofia Veloso,Personalidade Histórica
Rua Luiz Afonso,Personalidade Histórica
Rua Miguel Teixeira,Personalidade Histórica
Travessa Pesqueiro,Coisa
Rua Lopo Gonçalves,Personalidade Histórica
Rua Joaquim Nabuco,Personalidade Histórica
Rua Alberto Torres,Nome de Cidade/UF
Rua Octávio Corrêa,Personalidade Histórica
Rua Alcides de Oliveira Gomes,Personalidade Histórica
Rua Doutor Sebastião Leão,Profissão
Rua Antônio Francisco da Rocha,Personalidade Histórica
Rua Otto Ernst Meyer,Personalidade Histórica
Rua João Neves da Fontoura,Personalidade Histórica
Rua José Honorato Santos,Figura Religiosa
Rua Jornal do Brasil,Personalidade Histórica
Rua Luiz Manoel,Personalidade Histórica
Rua Delegado Grant,Personalidade Histórica
Rua Laurindo,Coisa
Rua Santana,Figura Religiosa
Rua Jacinto Gomes,Personalidade Histórica
Rua Santa Terezinha,Figura Religiosa
Travessa Borges Fortes,Personalidade Histórica
Rua Doutor Olinto de Oliveira,Profissão
Rua Lobo da Costa,Personalidade Histórica
Rua Inácio Montanha,Personalidade Histórica
Rua General Jacinto Osório,Exército
Travessa Ferreira de Abreu,Personalidade Histórica
Praça Piratini,Nome de Cidade/UF
Rua Maestro Mendanha,Personalidade Histórica
Travessa da Paz,Personalidade Histórica
Rua Vieira de Castro,Personalidade Histórica
Travessa Miranda e Castro,Personalidade Histórica
Praça Doutor Júlio de Aragão Bozano,Profissão
Rua 3,Rua sem nome
Rua 8,Rua sem nome
Rua 2,Rua sem nome
Avenida Piratini,Nome de Cidade/UF
Praça Garibaldi,Nome de Cidade/UF
Praça Cônego Marcelino,Personalidade Histórica
Rua Décio Martins da Costa,Personalidade Histórica
Rua Coronel Andre Belo,Exército
Rua Barão do Gravatai,Nome de Cidade/UF
Rua Múcio Teixeira,Personalidade Histórica
Avenida Getúlio Vargas,Personalidade Histórica
Rua Bernardo Pires,Personalidade Histórica
Rua Professor Guerreiro Lima,Profissão
Rua Ivo Janson,Personalidade Histórica
Rua Jacob Vontobel,Personalidade Histórica
Rua Professor Freitas Cabral,Profissão
Travessa Vileta,Coisa
Avenida Viena,Coisa
Avenida Berlim,Coisa
Rua Buarque de Macedo,Personalidade Histórica
Rua Américo Vespúcio,Personalidade Histórica
Travessa Engenheiro Alfredo Mayer Waldeck,Profissão
Rua Augusto Severo,Personalidade Histórica
Rua Marquês do Alegrete,Nome de Cidade/UF
Rua 11 de Agosto,Feriado
Rua Dona Sebastiana,Personalidade Histórica
Rua Vilela Tavares,Nome de Cidade/UF
Rua Dona Margarida,Personalidade Histórica
Rua Frederico Mentz,Personalidade Histórica
Travessa Afonso Marquês,Personalidade Histórica
Rua Santos Pedroso,Figura Religiosa
Rua Apeles Porto Alegre,Nome de Cidade/UF
Rua Simão Kappel,Personalidade Histórica
Rua Coronel Dico de Barros,Exército
Avenida Agostini,Coisa
Rua Padre Diogo Feijó,Figura Religiosa
Rua Edu Chaves,Personalidade Histórica
Rua José Carlos Daudt,Personalidade Histórica
Avenida Augusto Meyer,Personalidade Histórica
Rua Felicíssimo de Azevedo,Personalidade Histórica
Rua Auxiliadora,Coisa
Rua Carlos Von Koseritz,Personalidade Histórica
Rua Cândido Silveira,Personalidade Histórica
Rua Xavier Ferreira,Personalidade Histórica
Rua Mata Bacelar,Nome de Cidade/UF
Rua General Couto de Magalhães,Exército
Rua Coronel Manoel Py,Exército
Rua São Francisco da Califórnia,Figura Religiosa
Rua Zamenhoff,Coisa
Rua 16 de Julho,Feriado
Rua Marcelo Gama,Personalidade Histórica
Rua Barão de Cotegipe,Nome de Cidade/UF
Rua Dona Leopoldina,Personalidade Histórica
Rua Pedro Américo,Personalidade Histórica
Rua Honório Silveira Dias,Personalidade Histórica
Rua Portugal,Coisa
Travessa Jaguarão,Nome de Cidade/UF
Rua Coronel Feijó,Exército
Travessa Sul,Coisa
Travessa Jundiaí,Coisa
Rua Doutor Eduardo Chartier,Profissão
Rua Corcovado,Coisa
Rua Líbano,Coisa
Rua Coronel Camisão,Exército
Alameda Victor Adalberto Kessler,Personalidade Histórica
Rua Campos Sales,Personalidade Histórica
Rua Luiz Só,Personalidade Histórica
Rua Rômulo Telles Pessoa,Personalidade Histórica
Avenida Lavras,Coisa
Rua Amelia Telles,Personalidade Histórica
Avenida Itaqui,Nome de Cidade/UF
Avenida Caçapava,Coisa
Avenida Taquara,Nome de Cidade/UF
Avenida Montenegro,Nome de Cidade/UF
Avenida Iguaçu,Coisa
Avenida Guaporé,Nome de Cidade/UF
Avenida Encantado,Nome de Cidade/UF
Avenida João Obino,Personalidade Histórica
Avenida Soledade,Nome de Cidade/UF
Avenida Itajaí,Coisa
Rua Sioma Breitman,Personalidade Histórica
Rua Desembargador Augusto Loureiro Lima,Profissão
Rua Armando Pereira Câmara,Personalidade Histórica
Rua Desembargador Alves Nogueira,Profissão
Avenida Luiz Manoel Gonzaga,Personalidade Histórica
Avenida Pirapó,Nome de Cidade/UF
Rua Sinimbu,Nome de Cidade/UF
Rua Alfa,Coisa
Rua João Bastian,Personalidade Histórica
Rua Graciliano Ramos,Personalidade Histórica
Rua Felipe Becker,Personalidade Histórica
Praça Luiz Francisco Guerra Blessmann,Personalidade Histórica
Rua Doutor Jorge Fayet,Profissão
Rua Alfredo Schuett,Personalidade Histórica
Rua de La Grange,Personalidade Histórica
Rua Indianápolis,Coisa
Rua Mozart,Coisa
Rua Miracema,Coisa
Rua João Paetzel,Personalidade Histórica
Rua Santa Isabel,Figura Religiosa
Avenida José Gertum,Personalidade Histórica
Praça Lima Duarte,Personalidade Histórica
Rua Doutor Rodrigues Alves,Profissão
Travessa Coronel Antônio Carneiro Pinto,Exército
Travessa Antônio Caringi,Personalidade Histórica
Rua Professor Fitzgerald,Profissão
Travessa Professor Tupi Caldas,Profissão
Rua Curvelo,Coisa
Avenida Teixeira Mendes,Personalidade Histórica
Rua Balduíno Roehring,Personalidade Histórica
Rua Desembargador Hugo Candal,Profissão
Rua Monte Alverne,Personalidade Histórica
Praça Doutor Lopes Trovão,Profissão
Rua Souza Lobo,Personalidade Histórica
Rua Seival,Coisa
Rua São Gabriel,Nome de Cidade/UF
Avenida Saturnino de Brito,Personalidade Histórica
Rua Conde da Figueira,Personalidade Histórica
Rua Israel,Coisa
Rua Aquiles Porto Alegre,Nome de Cidade/UF
Rua General Salvador Pinheiro,Exército
Rua Ernesto Pellanda,Personalidade Histórica
Rua Aldrovando Leão,Personalidade Histórica
Rua Galiléia,Coisa
Rua Francisco de Aquino,Personalidade Histórica
Rua Álvaro Nicole,Personalidade Histórica
Rua Manoel Lopes Meirelles,Personalidade Histórica
Rua João Ernesto Schmidt,Personalidade Histórica
Rua Doutor Carlos Renato R. Fonseca,Profissão
Rua Claudio Manoel da Costa,Personalidade Histórica
Viela da Alegria,Nome de Cidade/UF
Rua Butantã,Coisa
Rua Affonso Celso Pupe da Silveira,Personalidade Histórica
Rua Gaston Englert,Personalidade Histórica
Avenida Doutor João Simplício Alves de Carvalho,Profissão
Rua Europa,Coisa
Rua Domingos Seguézio,Personalidade Histórica
Rua Julien Ferreira,Personalidade Histórica
Rua Ana César,Personalidade Histórica
Rua João Cândido,Personalidade Histórica
Rua Indiana,Coisa
Rua Doutor Dário de Bittencourt,Profissão
Rua Roque Calage,Personalidade Histórica
Avenida Carneiro da Fontoura,Personalidade Histórica
Rua Andaraí,Coisa
Rua Ariovaldo Pinheiro,Personalidade Histórica
Avenida Inácio Vasconcelos,Personalidade Histórica
Rua Doutor Guimarães Rosa,Profissão
Rua Gregor Mendel,Personalidade Histórica
Rua Senador Aníbal Di Primio Beck,Personalidade Histórica
Rua Valdemar Cantegril,Personalidade Histórica
Rua Doutora Estela Budiansky,Profissão
Rua Engenheiro Edmundo Gardolinski,Profissão
Rua Circulação,Coisa
Rua Doutor Paulo Franco dos Reis,Profissão
Rua Doutor Fábio Nascimento Barros,Profissão
Rua Marechal José Inácio da Silva,Exército
Rua Novo Hamburgo,Nome de Cidade/UF
Rua 3 de Abril,Feriado
Alameda Santo Amaro,Figura Religiosa
Travessa São Jacó,Figura Religiosa
Rua Ari Marinho,Personalidade Histórica
Rua Valentim Vincentini,Personalidade Histórica
Rua Veranópolis,Nome de Cidade/UF
Rua Valentim Vicentini,Personalidade Histórica
Rua José Carlos Ferreira,Personalidade Histórica
Praça dos Gusmões,Personalidade Histórica
Rua Osório,Nome de Cidade/UF
Rua Dom Pedrito,Nome de Cidade/UF
Rua Pistóia,Coisa
Avenida dos Industriários,Personalidade Histórica
Rua 24 de Junho,Feriado
Rua Triunfo,Nome de Cidade/UF
Rua Rio Pardo,Nome de Cidade/UF
Rua Toroquá,Coisa
Rua 3 Passos,Rua sem nome
Rua João Moreira Alberto,Personalidade Histórica
Rua Cacequi,Nome de Cidade/UF
Rua Tupanciretã,Nome de Cidade/UF
Rua Ubatuba,Coisa
Rua São Jerônimo,Nome de Cidade/UF
Rua Caxias do Sul,Personalidade Histórica
Rua Iraí,Nome de Cidade/UF
Rua Arroio do Meio,Personalidade Histórica
Avenida Brasiliano Índio de Moraes,Personalidade Histórica
Rua Brigadeiro Oliveira Neri,Exército
Rua Marechal Simeão,Exército
Rua General João de Deus Martins,Exército
Passagem 2,Coisa
Rua Fernando Pimentel,Personalidade Histórica
Rua Itapema,Coisa
Rua Doutor Veiga Cabral,Profissão
Praça Farroupilha,Nome de Cidade/UF
Avenida dos Prazeres,Personalidade Histórica
Avenida Circular,Coisa
Rua São Sepé,Nome de Cidade/UF
Rua Doutor Alberto Barbosa,Profissão
Rua Ivan Iglesias,Personalidade Histórica
Rua Aluizio de Azevedo,Personalidade Histórica
Rua Vital Brasil,Personalidade Histórica
Rua Platão,Coisa
Rua Inocoop,Coisa
Acesso Marcelino Barski,Rua sem nome
Acesso Coohipa,Rua sem nome
Rua Francisco Silveira Mello,Personalidade Histórica
Acesso José da Silva Bernardo,Rua sem nome
Acesso Toyama,Rua sem nome
Passagem Vila Ipê,Nome de Cidade/UF
Avenida Francisco Trein,Personalidade Histórica
Rua Ildo Luiz Candiotto,Personalidade Histórica
Jahyr Boeira de Almeida,Personalidade Histórica
Rua Adão Baino,Personalidade Histórica
Rua Álvares Cabral,Personalidade Histórica
Rua Fernando Cortez,Personalidade Histórica
Rua Dom Diogo de Souza,Personalidade Histórica
Rua Marechal Frota,Exército
Rua Marcos Moreira,Personalidade Histórica
Praça Alfred Sehbe,Personalidade Histórica
Rua Marajó,Coisa
Rua Coronel Gomes Bento,Exército
Praça Frederico Ozanam,Personalidade Histórica
Avenida Engenheiro Ary de Abreu Lima,Profissão
Rua Padre Jorge Sedelmayr,Figura Religiosa
Rua Marcos Fichbein,Personalidade Histórica
Rua Cidade Uberlândia,Personalidade Histórica
Travessa M,Rua sem nome
Praça Engenheiro Paulo de Aragão Bozano,Profissão
Avenida Engenheiro José Maria de Carvalho,Profissão
Travessa Germano Steigleder Sobrinho,Personalidade Histórica
Travessa Rinaldo Selbach,Nome de Cidade/UF
Travessa Abramo Eberle,Personalidade Histórica
Rua Doutor Helmuth Weimann,Profissão
Rua Engenheiro Walter Boehl,Profissão
Travessa Jorge Thofhern,Personalidade Histórica
Travessa Olintho San Martin,Personalidade Histórica
Travessa José Rodrigues Fonseca,Personalidade Histórica
Rua Dom Luiz Guanella,Personalidade Histórica
Rua Pascoal Parulla,Personalidade Histórica
Rua Umbu,Rua sem nome
Avenida do Forte,Personalidade Histórica
Rua Guilherme Alves,Personalidade Histórica
Beco Francisco Fraga Feijó,Rua sem nome
Avenida Ceres,Coisa
Rua Visconde do Herval,Nome de Cidade/UF
Travessa La Salle,Personalidade Histórica
Rua Tibério Bagnati,Personalidade Histórica
Rua Barão do Triunfo,Nome de Cidade/UF
Marechal Ignácio de Freitas Rolim,Exército
Rua Tasso Bolívar Dias Correa,Personalidade Histórica
Rua Marechal Setembrino de Carvalho,Exército
Avenida Ganzo,Coisa
Rua Pery Machado,Personalidade Histórica
Rua Cícero Ahrends,Personalidade Histórica
Rua Doutor Alter Cintra de Oliveira,Profissão
Rua Uruguaiana,Nome de Cidade/UF
Rua José Francisco Duarte Júnior,Personalidade Histórica
Rua Costa,Coisa
Rua José de Alencar,Personalidade Histórica
Rua Antenor Lemos,Personalidade Histórica
Rua Grão Pará,Nome de Cidade/UF
Rua Silvério,Coisa
Rua Otávio Dutra,Personalidade Histórica
Rua Dona Amélia,Personalidade Histórica
